canonical_entity,score,rising,seeds,source,score_norm
drive google,12.0,0,1,google_trends,0.102
google flights,12.0,0,1,google_trends,0.102
google gemini ai,12.0,0,1,google_trends,0.102
llm,12.0,0,1,google_trends,0.102
pagina web wordpress,12.0,0,1,google_trends,0.102
plan de empresa,12.0,0,1,google_trends,0.102
tarjeta de memoria,12.0,0,1,google_trends,0.102
gemini api,9.0,0,1,google_trends,0.0714
google fotos,8.0,0,1,google_trends,0.0612
traductor de google,8.0,0,1,google_trends,0.0612
chat gpt deep research,7.0,0,1,google_trends,0.051
docs google,7.0,0,1,google_trends,0.051
ejercicios memoria,7.0,0,1,google_trends,0.051
gemini app,7.0,0,1,google_trends,0.051
gemini online,7.0,0,1,google_trends,0.051
google earth,7.0,0,1,google_trends,0.051
memoria juegos,7.0,0,1,google_trends,0.051
gemini fotos,6.0,0,1,google_trends,0.0408
gemini imagenes,6.0,0,1,google_trends,0.0408
gemini studio,6.0,0,1,google_trends,0.0408
google documentos,6.0,0,1,google_trends,0.0408
google gmail,6.0,0,1,google_trends,0.0408
google play,6.0,0,1,google_trends,0.0408
memoria usb,6.0,0,1,google_trends,0.0408
documentos de google,5.0,0,1,google_trends,0.0306
ejercicios de memoria,5.0,0,1,google_trends,0.0306
google pixel,5.0,0,1,google_trends,0.0306
google scholar,5.0,0,1,google_trends,0.0306
google tiempo,5.0,0,1,google_trends,0.0306
visual studio code,5.0,0,1,google_trends,0.0306
google chat,4.0,0,1,google_trends,0.0204
google map,4.0,0,1,google_trends,0.0204
google mapa,4.0,0,1,google_trends,0.0204
google traduction,4.0,0,1,google_trends,0.0204
juego de memoria,4.0,0,1,google_trends,0.0204
juegos de memoria,4.0,0,1,google_trends,0.0204
memoria de madrid,4.0,0,1,google_trends,0.0204
memoria democrática,4.0,0,1,google_trends,0.0204
memoria externa,4.0,0,1,google_trends,0.0204
memoria sd,4.0,0,1,google_trends,0.0204
google docs,3.0,0,1,google_trends,0.0102
memoria de trabajo,3.0,0,1,google_trends,0.0102
memoria democratica,3.0,0,1,google_trends,0.0102
memoria historica,3.0,0,1,google_trends,0.0102
memoria ssd,3.0,0,1,google_trends,0.0102
perdida de memoria,3.0,0,1,google_trends,0.0102
google drive,2.0,0,1,google_trends,0.0
google photos,2.0,0,1,google_trends,0.0
wordpress com,2.0,0,1,google_trends,0.0
